seal_id,source_image,clean_image,image_size_orig_w,image_size_orig_h,image_size_clean_w,image_size_clean_h,symbol_id,symbol_index,bbox_clean_x1,bbox_clean_y1,bbox_clean_x2,bbox_clean_y2,bbox_orig_x1,bbox_orig_y1,bbox_orig_x2,bbox_orig_y2,symbol_path
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_010,10,95,306,134,366,122,400,172,478,output\symbols\page046_M-12_a_c1_sym_010.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_011,11,100,29,157,205,128,37,202,268,output\symbols\page046_M-12_a_c1_sym_011.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_012,12,119,564,168,745,153,738,216,974,output\symbols\page046_M-12_a_c1_sym_012.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_013,13,122,232,165,281,157,303,212,367,output\symbols\page046_M-12_a_c1_sym_013.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_014,14,139,342,172,392,179,447,221,512,output\symbols\page046_M-12_a_c1_sym_014.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_015,15,141,557,275,763,181,728,354,998,output\symbols\page046_M-12_a_c1_sym_015.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_016,16,157,17,468,365,202,22,603,477,output\symbols\page046_M-12_a_c1_sym_016.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_017,17,182,497,211,544,234,650,271,711,output\symbols\page046_M-12_a_c1_sym_017.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_018,18,184,388,205,465,237,507,264,608,output\symbols\page046_M-12_a_c1_sym_018.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_019,19,207,548,227,602,266,717,292,787,output\symbols\page046_M-12_a_c1_sym_019.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_020,20,214,628,230,650,275,821,296,850,output\symbols\page046_M-12_a_c1_sym_020.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_021,21,241,320,299,381,310,418,385,498,output\symbols\page046_M-12_a_c1_sym_021.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_022,22,247,537,265,572,318,702,341,748,output\symbols\page046_M-12_a_c1_sym_022.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_023,23,250,569,308,647,322,744,396,846,output\symbols\page046_M-12_a_c1_sym_023.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_024,24,256,753,364,767,329,985,469,1003,output\symbols\page046_M-12_a_c1_sym_024.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_025,25,263,682,296,732,338,892,381,957,output\symbols\page046_M-12_a_c1_sym_025.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_026,26,319,728,332,744,411,952,427,973,output\symbols\page046_M-12_a_c1_sym_026.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_027,27,332,14,381,27,427,18,491,35,output\symbols\page046_M-12_a_c1_sym_027.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_028,28,339,710,357,750,436,929,460,981,output\symbols\page046_M-12_a_c1_sym_028.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_029,29,352,472,372,520,453,617,479,680,output\symbols\page046_M-12_a_c1_sym_029.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_030,30,369,33,430,210,475,43,554,274,output\symbols\page046_M-12_a_c1_sym_030.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_031,31,376,348,542,767,484,455,698,1003,output\symbols\page046_M-12_a_c1_sym_031.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_032,32,397,59,406,97,511,77,523,126,output\symbols\page046_M-12_a_c1_sym_032.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_033,33,403,325,423,346,519,425,545,452,output\symbols\page046_M-12_a_c1_sym_033.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_034,34,432,17,630,223,556,22,811,291,output\symbols\page046_M-12_a_c1_sym_034.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_035,35,510,624,537,675,657,816,692,883,output\symbols\page046_M-12_a_c1_sym_035.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_036,36,525,714,544,767,676,934,701,1003,output\symbols\page046_M-12_a_c1_sym_036.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_037,37,542,191,588,274,698,249,757,358,output\symbols\page046_M-12_a_c1_sym_037.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_038,38,552,716,571,743,711,936,735,972,output\symbols\page046_M-12_a_c1_sym_038.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_039,39,558,641,580,685,719,838,747,896,output\symbols\page046_M-12_a_c1_sym_039.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_040,40,567,728,584,767,730,952,752,1003,output\symbols\page046_M-12_a_c1_sym_040.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_041,41,571,27,734,376,735,35,945,492,output\symbols\page046_M-12_a_c1_sym_041.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_042,42,577,682,606,720,743,892,781,942,output\symbols\page046_M-12_a_c1_sym_042.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_043,43,631,21,659,56,813,27,849,73,output\symbols\page046_M-12_a_c1_sym_043.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_044,44,636,557,671,588,819,728,864,769,output\symbols\page046_M-12_a_c1_sym_044.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_045,45,641,619,679,760,826,810,875,994,output\symbols\page046_M-12_a_c1_sym_045.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_046,46,642,396,734,564,827,518,945,738,output\symbols\page046_M-12_a_c1_sym_046.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_047,47,644,165,691,230,830,215,890,300,output\symbols\page046_M-12_a_c1_sym_047.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_048,48,667,218,734,308,859,285,945,403,output\symbols\page046_M-12_a_c1_sym_048.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_049,49,693,720,734,767,893,942,945,1003,output\symbols\page046_M-12_a_c1_sym_049.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_050,50,693,507,734,523,893,663,945,684,output\symbols\page046_M-12_a_c1_sym_050.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_051,51,700,557,734,564,902,728,945,738,output\symbols\page046_M-12_a_c1_sym_051.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_052,52,712,732,728,752,917,957,938,984,output\symbols\page046_M-12_a_c1_sym_052.png
page048_M-17_a_c0,data\cropped\page048_M-17_a_c0.png,data\clean\page048_M-17_a_c0_clean.png,1003,1007,758,768,page048_M-17_a_c0_sym_001,1,707,291,755,352,935,381,999,461,output\symbols\page048_M-17_a_c0_sym_001.png
page049_M-19_A_c0,data\cropped\page049_M-19_A_c0.png,data\clean\page049_M-19_A_c0_clean.png,957,970,757,768,page049_M-19_A_c0_sym_001,1,85,53,141,73,107,66,178,92,output\symbols\page049_M-19_A_c0_sym_001.png
page049_M-19_A_c0,data\cropped\page049_M-19_A_c0.png,data\clean\page049_M-19_A_c0_clean.png,957,970,757,768,page049_M-19_A_c0_sym_002,2,177,52,217,62,223,65,274,78,output\symbols\page049_M-19_A_c0_sym_002.png
page049_M-20_A_c0,data\cropped\page049_M-20_A_c0.png,data\clean\page049_M-20_A_c0_clean.png,957,970,757,768,page049_M-20_A_c0_sym_001,1,85,53,141,73,107,66,178,92,output\symbols\page049_M-20_A_c0_sym_001.png
page049_M-20_A_c0,data\cropped\page049_M-20_A_c0.png,data\clean\page049_M-20_A_c0_clean.png,957,970,757,768,page049_M-20_A_c0_sym_002,2,177,52,217,62,223,65,274,78,output\symbols\page049_M-20_A_c0_sym_002.png
page049_M-21_A_c0,data\cropped\page049_M-21_A_c0.png,data\clean\page049_M-21_A_c0_clean.png,875,900,746,768,page049_M-21_A_c0_sym_001,1,361,57,401,76,423,66,470,89,output\symbols\page049_M-21_A_c0_sym_001.png
page050_M-23_A_c0,data\cropped\page050_M-23_A_c0.png,data\clean\page050_M-23_A_c0_clean.png,962,979,754,768,page050_M-23_A_c0_sym_001,1,77,52,101,68,98,66,128,86,output\symbols\page050_M-23_A_c0_sym_001.png
page050_M-23_A_c0,data\cropped\page050_M-23_A_c0.png,data\clean\page050_M-23_A_c0_clean.png,962,979,754,768,page050_M-23_A_c0_sym_002,2,433,60,454,73,552,76,579,93,output\symbols\page050_M-23_A_c0_sym_002.png
page050_M-23_A_c0,data\cropped\page050_M-23_A_c0.png,data\clean\page050_M-23_A_c0_clean.png,962,979,754,768,page050_M-23_A_c0_sym_003,3,676,57,707,71,862,72,902,90,output\symbols\page050_M-23_A_c0_sym_003.png
page050_M-24_A_c0,data\cropped\page050_M-24_A_c0.png,data\clean\page050_M-24_A_c0_clean.png,962,979,754,768,page050_M-24_A_c0_sym_001,1,77,52,101,68,98,66,128,86,output\symbols\page050_M-24_A_c0_sym_001.png
page050_M-24_A_c0,data\cropped\page050_M-24_A_c0.png,data\clean\page050_M-24_A_c0_clean.png,962,979,754,768,page050_M-24_A_c0_sym_002,2,433,60,454,73,552,76,579,93,output\symbols\page050_M-24_A_c0_sym_002.png
page050_M-24_A_c0,data\cropped\page050_M-24_A_c0.png,data\clean\page050_M-24_A_c0_clean.png,962,979,754,768,page050_M-24_A_c0_sym_003,3,676,57,707,71,862,72,902,90,output\symbols\page050_M-24_A_c0_sym_003.png
page054_M-34_a_bis_c1,data\cropped\page054_M-34_a_bis_c1.png,data\clean\page054_M-34_a_bis_c1_clean.png,829,883,734,768,page054_M-34_a_bis_c1_sym_001,1,620,34,710,62,700,39,801,71,output\symbols\page054_M-34_a_bis_c1_sym_001.png
page054_M-34_a_c1,data\cropped\page054_M-34_a_c1.png,data\clean\page054_M-34_a_c1_clean.png,829,883,734,768,page054_M-34_a_c1_sym_001,1,620,34,710,62,700,39,801,71,output\symbols\page054_M-34_a_c1_sym_001.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_001,1,25,295,39,331,27,337,43,378,output\symbols\page055_M-36_A_c0_sym_001.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_002,2,25,224,63,290,27,255,70,331,output\symbols\page055_M-36_A_c0_sym_002.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_003,3,27,321,768,757,30,366,858,864,output\symbols\page055_M-36_A_c0_sym_003.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_004,4,37,247,116,292,41,282,129,333,output\symbols\page055_M-36_A_c0_sym_004.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_005,5,37,341,68,371,41,389,76,423,output\symbols\page055_M-36_A_c0_sym_005.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_006,6,44,436,73,446,49,498,81,509,output\symbols\page055_M-36_A_c0_sym_006.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_007,7,48,503,203,628,53,574,227,717,output\symbols\page055_M-36_A_c0_sym_007.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_008,8,49,316,105,363,54,361,117,414,output\symbols\page055_M-36_A_c0_sym_008.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_009,9,54,245,75,262,60,279,83,299,output\symbols\page055_M-36_A_c0_sym_009.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_010,10,57,397,195,501,63,453,218,572,output\symbols\page055_M-36_A_c0_sym_010.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_011,11,65,676,94,706,72,772,105,806,output\symbols\page055_M-36_A_c0_sym_011.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_012,12,65,620,82,638,72,708,91,728,output\symbols\page055_M-36_A_c0_sym_012.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_013,13,66,35,312,490,73,39,348,559,output\symbols\page055_M-36_A_c0_sym_013.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_014,14,73,709,88,727,81,810,98,830,output\symbols\page055_M-36_A_c0_sym_014.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_015,15,82,643,100,664,91,734,111,758,output\symbols\page055_M-36_A_c0_sym_015.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_016,16,111,589,164,644,124,672,183,735,output\symbols\page055_M-36_A_c0_sym_016.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_017,17,163,378,191,395,182,431,213,451,output\symbols\page055_M-36_A_c0_sym_017.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_018,18,167,562,200,599,186,642,223,684,output\symbols\page055_M-36_A_c0_sym_018.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_019,19,202,515,219,549,225,588,244,627,output\symbols\page055_M-36_A_c0_sym_019.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_020,20,244,685,270,707,272,782,301,807,output\symbols\page055_M-36_A_c0_sym_020.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_021,21,246,28,741,564,275,31,828,644,output\symbols\page055_M-36_A_c0_sym_021.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_022,22,539,598,563,611,602,683,629,698,output\symbols\page055_M-36_A_c0_sym_022.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_023,23,547,436,560,455,611,498,626,519,output\symbols\page055_M-36_A_c0_sym_023.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_024,24,553,491,582,525,618,560,650,599,output\symbols\page055_M-36_A_c0_sym_024.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_025,25,562,463,583,482,628,528,652,550,output\symbols\page055_M-36_A_c0_sym_025.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_026,26,567,250,587,267,634,285,656,305,output\symbols\page055_M-36_A_c0_sym_026.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_027,27,584,403,646,456,653,460,722,520,output\symbols\page055_M-36_A_c0_sym_027.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_028,28,610,591,622,610,682,675,695,696,output\symbols\page055_M-36_A_c0_sym_028.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_029,29,631,384,649,398,705,438,725,454,output\symbols\page055_M-36_A_c0_sym_029.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_030,30,653,688,768,757,730,786,858,864,output\symbols\page055_M-36_A_c0_sym_030.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_031,31,655,307,709,347,732,350,793,396,output\symbols\page055_M-36_A_c0_sym_031.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_032,32,663,246,693,302,741,281,775,345,output\symbols\page055_M-36_A_c0_sym_032.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_033,33,702,190,717,248,785,217,801,283,output\symbols\page055_M-36_A_c0_sym_033.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_034,34,719,254,732,315,804,290,818,359,output\symbols\page055_M-36_A_c0_sym_034.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_035,35,721,31,764,100,806,35,854,114,output\symbols\page055_M-36_A_c0_sym_035.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_036,36,721,179,768,216,806,204,858,246,output\symbols\page055_M-36_A_c0_sym_036.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_037,37,749,118,768,177,837,134,858,202,output\symbols\page055_M-36_A_c0_sym_037.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_038,38,750,230,768,327,838,262,858,373,output\symbols\page055_M-36_A_c0_sym_038.png
page055_M-36_A_c0,data\cropped\page055_M-36_A_c0.png,data\clean\page055_M-36_A_c0_clean.png,859,866,768,758,page055_M-36_A_c0_sym_039,39,750,585,768,627,838,668,858,716,output\symbols\page055_M-36_A_c0_sym_039.png
page055_M-37_A_c0,data\cropped\page055_M-37_A_c0.png,data\clean\page055_M-37_A_c0_clean.png,859,866,768,758,page055_M-37_A_c0_sym_001,1,25,295,39,331,27,337,43,378,output\symbols\page055_M-37_A_c0_sym_001.png
page055_M-37_A_c0,data\cropped\page055_M-37_A_c0.png,data\clean\page055_M-37_A_c0_clean.png,859,866,768,758,page055_M-37_A_c0_sym_002,2,25,224,63,290,27,255,70,331,output\symbols\page055_M-37_A_c0_sym_002.png
page055_M-37_A_c0,data\cropped\page055_M-37_A_c0.png,data\clean\page055_M-37_A_c0_clean.png,859,866,768,758,page055_M-37_A_c0_sym_003,3,27,321,768,757,30,366,858,864,output\symbols\page055_M-37_A_c0_sym_003.png
page055_M-37_A_c0,data\cropped\page055_M-37_A_c0.png,data\clean\page055_M-37_A_c0_clean.png,859,866,768,758,page055_M-37_A_c0_sym_004,4,37,247,116,292,41,282,129,333,output\symbols\page055_M-37_A_c0_sym_004.png
page055_M-37_A_c0,data\cropped\page055_M-37_A_c0.png,data\clean\page055_M-37_A_c0_clean.png,859,866,768,758,page055_M-37_A_c0_sym_005,5,37,341,68,371,41,389,76,423,output\symbols\page055_M-37_A_c0_sym_005.png
